Name,Slug,Thumbnail,Date
"How many patients try to book appointments after hours, and where do they go instead?",after-hours-patient-booking,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,07/09/2026
"What Should an AI Front Desk Handle in an Orthopedic Practice?",ai-front-desk-for-orthopedic-practices,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,07/03/2026
"Are AI Receptionists and Patient Outreach Agents HIPAA Compliant?",are-ai-receptionists-hipaa-compliant,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,07/10/2026
"What is the average patient no-show rate, and what does each missed appointment cost?",average-no-show-rate-and-cost,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,07/01/2026
"Do Appointment Reminder Texts Actually Reduce No-Shows?",do-appointment-reminders-reduce-no-shows,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,07/17/2026
"How does AI patient scheduling actually work, and what does EHR integration really mean?",how-ai-patient-scheduling-works,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,07/13/2026
"How Much Does an AI Receptionist Cost for a Medical Practice?",how-much-does-an-ai-receptionist-cost,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,07/06/2026
"How Much Revenue Does Patient Leakage Actually Cost a Specialty Practice?",how-much-does-patient-leakage-cost,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,07/08/2026
"How Do You Measure Patient Activation, and What If You Can't License the PAM?",how-to-measure-patient-activation,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,07/19/2026
"How Do You Reactivate Dormant Patients Without Hiring More Staff?",how-to-reactivate-dormant-patients,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,07/07/2026
"Which Patient Engagement Software Does a Specialty Practice Actually Need?",patient-engagement-software-for-specialty-practices,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,07/15/2026
"What's the Difference Between Patient Engagement and Patient Activation?",patient-engagement-vs-patient-activation,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,06/26/2026
"How Do Patients Want to Book Medical Appointments? The Statistics Practices Should Know",patient-scheduling-statistics,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,07/16/2026
"Appointment Reminders vs Patient Recall vs Patient Reactivation: What's the Difference?",reminders-vs-recall-vs-reactivation,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,07/12/2026
"What Does an AI Front Desk Actually Do in a Specialty Practice?",what-does-an-ai-front-desk-do,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,06/30/2026
"What percentage of referrals never get scheduled, and how do you stop losing yours?",what-percent-of-referrals-never-get-scheduled,https://raw.githubusercontent.com/tbram2/clinekt-leakage-calculator/master/site-assets/media/blog/card-clinekt.png,07/18/2026
